"id_documento","folio","op_control"
"8546","0707-2022","0807-2022"
"8547","0709-2022","0808-2022"
"8548","0708-2022","0809-2022"
"8549","0710-2022","0810-2022"
"8550","0711-2022","0811-2022"
"8559","0713-2022","0813-2022"
"8560","0714-2022","0814-2022"
"8564","0715-2022","0815-2022"
"8565","0716-2022","0816-2022"
"8567","0717-2022","0817-2022"
"8572","0718-2022","0819-2022"
"8577","0719-2022","0820-2022"
"8578","0720-2022","0821-2022"
"8580","0721-2022","0822-2022"
"8582","0722-2022","0823-2022"
"8583","0723-2022","0824-2022"
"8584","DGRDC-0012-2022","0012-2022"
"8585","DGRDC-0013-2022","0013-2022"
"8586","0724-2022","0825-2022"
"8589","0725-2022","0826-2022"
"8591","0726-2022","0827-2022"
"8592","0727-2022","0828-2022"
"8593","0728-2022","0829-2022"
"8594","0729-2022","0830-2022"
"8604","0730-2022","0831-2022"
"8605","0731-2022","0832-2022"
"8606",NULL,"0833-2022"
"8607","0732-2022","0834-2022"
"8615","0733-2022","0835-2022"
"8616","0734-2022","0836-2022"
"8617","0735-2022","0837-2022"
"8618","0736-2022","0838-2022"
"8624","0737-2022","0839-2022"
"8641","0738-2022","0840-2022"
"8643","DGRDC-0014-2022","0014-2022"
"8644","0739-2022","0841-2022"
"8645","0740-2022","0842-2022"
"8646","0741-2022","0843-2022"
"8647","0742-2022","0844-2022"
"8649","0743-2022","0845-2022"
"8650","0744-2022","0846-2022"
"8655","0745-2022","0847-2022"
"8656","0747-2022","0848-2022"
"8665","DGRDC-0015-2022","0015-2022"
"8666","0748-2022","0850-2022"
"8667","0749-2022","0851-2022"
"8670","0750-2022","0852-2022"
"8671","0751-2022","0853-2022"
"8673","0752-2022","0854-2022"
"8674","0753-2022","0855-2022"
"8675","0754-2022","0856-2022"
"8676","DGRDC-0016-2022","0016-2022"
"8687","0755-2022","0857-2022"
"8689","0756-2022","0858-2022"
"8690","0757-2022","0859-2022"
"8691","0760-2022","0860-2022"
"8699","0762-2022","0863-2022"
"8703","0758-2022","0864-2022"
"8715","0763-2022","0865-2022"
"8716","0764-2022","0866-2022"
"8717","DGRDC-0017-2022","0017-2022"
"8723","0766-2022","0868-2022"
"8724",NULL,"0869-2022"
