"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DBA0044I","-99.03822222","19.38457778","Secundaria","Federal","Julio Cortazar","Iztapalapa","0"
"09DBA0048E","-99.09682222","19.35934722","Secundaria","Federal","Teofilo Cedillo Granados","Iztapalapa","9000"
"09DBA0078Z","-99.05910556","19.34227778","Secundaria","Federal","Jose Vasconcelos","Iztapalapa","9710"
"09DBA0107D","-99.04698056","19.34915556","Secundaria","Federal","Republica de Brasil","Iztapalapa","9290"
"09DBA0111Q","-99.05654722","19.39918889","Secundaria","Federal","Heroes Del Molino Del Rey","Iztapalapa","9100"
"09DBA0163W","-99.07276667","19.30278333","Secundaria","Federal","Profr. Gerardo Bruno Sevilla Hernandez","Iztapalapa","9790"
"09DBA0184I","-98.999325","19.37146944","Secundaria","Federal","Luis Pasteur","Iztapalapa","9170"
"09DBA0199K","-99.07806944","19.38701111","Secundaria","Federal","Juan Antonio de La Fuente","Iztapalapa","9020"
"09DBA0218I","-99.04960833","19.32438889","Secundaria","Federal","Mexico-Japon","Iztapalapa","9708"
"09DBA0220X","-99.072975","19.35406389","Secundaria","Federal","Salvador Novo","Iztapalapa","9340"
"09DBA0223U","-99.00424444","19.35640278","Secundaria","Federal","Mariano Hidalgo","Iztapalapa","9600"
"09DBN0006J","-99.07314444","19.39434167","Primaria","Federal","Antonio de Mendoza","Iztacalco","8500"
"09DBN0007I","-99.10538056","19.42911944","Primaria","Federal","Estado de Puebla","Venustiano Carranza","15500"
"09DBN0011V","-99.21806667","19.41948889","Primaria","Federal","Chapultepec","Miguel Hidalgo","11000"
"09DBN0015R","-99.17049444","19.37297222","Primaria","Federal","Centro Urbano Presidente Aleman","Benito Juárez","3100"
"09DBN0017P","-99.12230833","19.38989722","Primaria","Federal","Antonio Garcia Cubas","Iztacalco","8240"
"09DBN0019N","-99.1464","19.38976944","Primaria","Federal","Presidente Miguel Aleman","Benito Juárez","3410"
"09DBN0024Z","-99.14323611","19.39873889","Primaria","Federal","Angel Albino Corzo","Benito Juárez","3400"
"09DBN0025Y","-99.14243889","19.368375","Primaria","Federal","Carlos A. Carrillo","Benito Juárez","3300"
"09DBN0027W","-99.1592","19.43830556","Primaria","Federal","Veinte de Noviembre","Cuauhtémoc","6470"
