id_documento,folio,id_direccion,Observaciones,,,,,,,,,,
8559,0713-2022,10,,,,,,,,,,,
8560,0714-2022,13,,,,,,,,,,,
8564,0715-2022,13,,,,,,,,,,,
8565,0716-2022,13,,,,,,,,,,,
8567,0717-2022,8,,,,,,,,,,,
8572,0718-2022,16,,,,,,,,,,,
8577,0719-2022,16,,,,,,,,,,,
8578,0720-2022,13,,,,,,,,,,,
8580,0721-2022,13,,,,,,,,,,,
8582,0722-2022,50,,,,,,,,,,,
8583,0723-2022,13,,,,,,,,,,,
8584,DGRDC-0012-2022,,,,,,,,,,,,
8585,DGRDC-0013-2022,,,,,,,,,,,,
8586,0724-2022,13,,,,,,,,,,,
8589,0725-2022,16,,,,,,,,,,,
8591,0726-2022,11,,,,,,,,,,,
8592,0727-2022,8,,,,,,,,,,,
8593,0728-2022,8,,,,,,,,,,,
8594,0729-2022,8,,,,,,,,,,,
8604,0730-2022,13,,,,,,,,,,,
8605,0731-2022,13,,,,,,,,,,,
8606,NULL,,,,,,,,,,,,
8607,0732-2022,13,,,,,,,,,,,
8615,0733-2022,50,,,,,,,,,,,
8616,0734-2022,50,,,,,,,,,,,
8617,0735-2022,13,,,,,,,,,,,
8618,0736-2022,13,Contiene BIS,bis es 8701,13,,,,,,,,
8624,0737-2022,13,,,,,,,,,,,
8641,0738-2022,13,,,,,,,,,,,
8643,DGRDC-0014-2022,,,,,,,,,,,,
8644,0739-2022,13,,,,,,,,,,,
8645,0740-2022,13,,,,,,,,,,,
8646,0741-2022,13,,,,,,,,,,,
8647,0742-2022,13,,,,,,,,,,,
8649,0743-2022,13,,,,,,,,,,,
8650,0744-2022,10,,,,,,,,,,,
8655,0745-2022,16,,0746-2022,16,,,,,,,,
8656,0747-2022,13,,,,,,,,,,,
8665,DGRDC-0015-2022,,,,,,,,,,,,
8666,0748-2022,11,,,,,,,,,,,
8667,0749-2022,16,,,,,,,,,,,
8670,0750-2022,16,,,,,,,,,,,
8671,0751-2022,16,,,,,,,,,,,
8673,0752-2022,13,,,,,,,,,,,
8674,0753-2022,13,,,,,,,,,,,
8675,0754-2022,13,,,,,,,,,,,
8676,DGRDC-0016-2022,,,,,,,,,,,,
8687,0755-2022,16,,,,,,,,,,,
8689,0756-2022,11,,,,,,,,,,,
8690,0757-2022,8,,0759-2022,8,,,,,,,,
8691,0760-2022,16,,0761-2022,13,,,,,,,,
8699,0762-2022,8,,,,,,,,,,,
8703,0758-2022,10,,,,,,,,,,,
8715,0763-2022,13,,,,,,,,,,,
8716,0764-2022,16,,,,,,,,,,,
8717,DGRDC-0017-2022,,,0765-2022,16,,,,,,,,
8723,0766-2022,50,,,,,,,,,,,
8724,NULL,,,,,,,,,,,,
8725,NULL,,,,,,,,,,,,
8726,0767-2022,16,,,,,,,,,,,
